timestamp,temperatura_pr1,date (America/Sao_Paulo)
1763422347198,5.5,2025-11-17 20:32:27.198000-03:00
1763422286858,5.0,2025-11-17 20:31:26.858000-03:00
1763422226531,4.5,2025-11-17 20:30:26.531000-03:00
1763422166301,4.1,2025-11-17 20:29:26.301000-03:00
1763422105883,3.7,2025-11-17 20:28:25.883000-03:00
1763422045562,3.4,2025-11-17 20:27:25.562000-03:00
1763421985231,3.8,2025-11-17 20:26:25.231000-03:00
1763421924896,4.7,2025-11-17 20:25:24.896000-03:00
1763421864570,5.5,2025-11-17 20:24:24.570000-03:00
1763421804244,6.0,2025-11-17 20:23:24.244000-03:00
1763421743917,5.8,2025-11-17 20:22:23.917000-03:00
1763421683588,5.3,2025-11-17 20:21:23.588000-03:00
1763421623253,4.8,2025-11-17 20:20:23.253000-03:00
1763421562931,4.3,2025-11-17 20:19:22.931000-03:00
1763421502600,3.9,2025-11-17 20:18:22.600000-03:00
1763421442169,3.5,2025-11-17 20:17:22.169000-03:00
1763421381840,3.5,2025-11-17 20:16:21.840000-03:00
1763421321512,4.2,2025-11-17 20:15:21.512000-03:00
1763421261184,5.1,2025-11-17 20:14:21.184000-03:00
1763421200861,5.7,2025-11-17 20:13:20.861000-03:00
1763421140527,6.1,2025-11-17 20:12:20.527000-03:00
1763421080199,5.6,2025-11-17 20:11:20.199000-03:00
1763421019879,5.1,2025-11-17 20:10:19.879000-03:00
1763420959550,4.6,2025-11-17 20:09:19.550000-03:00
1763420899217,4.2,2025-11-17 20:08:19.217000-03:00
1763420838889,3.7,2025-11-17 20:07:18.889000-03:00
1763420778561,3.4,2025-11-17 20:06:18.561000-03:00
1763420718237,3.7,2025-11-17 20:05:18.237000-03:00
1763420657919,4.6,2025-11-17 20:04:17.919000-03:00
1763420597584,5.3,2025-11-17 20:03:17.584000-03:00
1763420537259,5.9,2025-11-17 20:02:17.259000-03:00
1763420476742,5.9,2025-11-17 20:01:16.742000-03:00
1763420416412,5.4,2025-11-17 20:00:16.412000-03:00
1763420356093,4.9,2025-11-17 19:59:16.093000-03:00
1763420295769,4.4,2025-11-17 19:58:15.769000-03:00
1763420235451,4.0,2025-11-17 19:57:15.451000-03:00
1763420174956,3.6,2025-11-17 19:56:14.956000-03:00
1763420114635,3.5,2025-11-17 19:55:14.635000-03:00
1763420054305,4.1,2025-11-17 19:54:14.305000-03:00
1763419993974,4.9,2025-11-17 19:53:13.974000-03:00
1763419933646,5.6,2025-11-17 19:52:13.646000-03:00
1763419868056,6.1,2025-11-17 19:51:08.056000-03:00
1763419807736,5.7,2025-11-17 19:50:07.736000-03:00
1763419747404,5.2,2025-11-17 19:49:07.404000-03:00
1763419687092,4.7,2025-11-17 19:48:07.092000-03:00
1763419626754,4.2,2025-11-17 19:47:06.754000-03:00
1763419566139,3.8,2025-11-17 19:46:06.139000-03:00
1763419505812,3.4,2025-11-17 19:45:05.812000-03:00
1763419445503,3.7,2025-11-17 19:44:05.503000-03:00
1763419385177,4.5,2025-11-17 19:43:05.177000-03:00
1763419324832,5.3,2025-11-17 19:42:04.832000-03:00
1763419264504,5.9,2025-11-17 19:41:04.504000-03:00
1763419204178,6.0,2025-11-17 19:40:04.178000-03:00
1763419143849,5.5,2025-11-17 19:39:03.849000-03:00
1763419083527,5.0,2025-11-17 19:38:03.527000-03:00
